"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","197913","11.236","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198001","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198002","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198003","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198004","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198005","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198006","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198007","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198008","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198009","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198010","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198011","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198012","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198013","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198101","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198102","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198103","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198104","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198105","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198106","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198107","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198108","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198109","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198110","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198111","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198112","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198113","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198201","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198202","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198203","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198204","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198205","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198206","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198207","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
